Jenis,Kecamatan,Tahun,RTP,Produksi (Ton)
Keramba Jaring Apung,Pante Ceureumen,2020,0,0
Keramba Jaring Apung,Panton Reu,2020,0,0
Keramba Jaring Apung,Sungai Mas,2020,0,0
Minapadi,Johan Pahlawan,2020,0,0
Minapadi,Samatiga,2020,0,0
Minapadi,Bubon,2020,0,0
Minapadi,Arongan Lambalek,2020,0,0
Minapadi,Woyla,2020,0,0
Minapadi,Woyla Barat,2020,0,0
Minapadi,Woyla Timur,2020,0,0
Minapadi,Kaway XVI,2020,0,0
Minapadi,Meureubo,2020,0,0
Minapadi,Pante Ceureumen,2020,0,0
Minapadi,Panton Reu,2020,0,0
Minapadi,Sungai Mas,2020,0,0
Budidaya Laut,Johan Pahlawan,2021,0,0
Budidaya Laut,Samatiga,2021,0,0
Budidaya Laut,Bubon,2021,0,0
Budidaya Laut,Arongan Lambalek,2021,0,0
Budidaya Laut,Woyla,2021,0,0
Budidaya Laut,Woyla Barat,2021,0,0
Budidaya Laut,Woyla Timur,2021,0,0
Budidaya Laut,Kaway XVI,2021,0,0
Budidaya Laut,Meureubo,2021,0,0
Budidaya Laut,Pante Ceureumen,2021,0,0
Budidaya Laut,Panton Reu,2021,0,0
Budidaya Laut,Sungai Mas,2021,0,0
Tambak,Johan Pahlawan,2021,24,3750
Tambak,Samatiga,2021,118,440930
Tambak,Bubon,2021,0,0
Tambak,Arongan Lambalek,2021,3,0
Tambak,Woyla,2021,0,0
Tambak,Woyla Barat,2021,0,0
Tambak,Woyla Timur,2021,0,0
Tambak,Kaway XVI,2021,0,0
Tambak,Meureubo,2021,17,0
Tambak,Pante Ceureumen,2021,0,0
Tambak,Panton Reu,2021,0,0
Tambak,Sungai Mas,2021,0,0
Kolam Air Tawar,Johan Pahlawan,2021,38,22080
Kolam Air Tawar,Samatiga,2021,98,98290
Kolam Air Tawar,Bubon,2021,40,7480
Kolam Air Tawar,Arongan Lambalek,2021,30,53540
Kolam Air Tawar,Woyla,2021,45,5720
Kolam Air Tawar,Woyla Barat,2021,19,3060
Kolam Air Tawar,Woyla Timur,2021,13,5640
Kolam Air Tawar,Kaway XVI,2021,92,12540
Kolam Air Tawar,Meureubo,2021,35,99350
Kolam Air Tawar,Pante Ceureumen,2021,15,4720
Kolam Air Tawar,Panton Reu,2021,16,4200
Kolam Air Tawar,Sungai Mas,2021,13,4410
Keramba Tancap,Johan Pahlawan,2021,0,0
Keramba Tancap,Samatiga,2021,0,0
Keramba Tancap,Bubon,2021,0,0
Keramba Tancap,Arongan Lambalek,2021,0,0
Keramba Tancap,Woyla,2021,0,0
Keramba Tancap,Woyla Barat,2021,0,0
Keramba Tancap,Woyla Timur,2021,0,0
Keramba Tancap,Kaway XVI,2021,0,0
Keramba Tancap,Meureubo,2021,0,0
Keramba Tancap,Pante Ceureumen,2021,0,0
Keramba Tancap,Panton Reu,2021,0,0
Keramba Tancap,Sungai Mas,2021,0,0
Keramba Jaring Apung,Johan Pahlawan,2021,0,0
Keramba Jaring Apung,Samatiga,2021,0,0
Keramba Jaring Apung,Bubon,2021,0,0
Keramba Jaring Apung,Arongan Lambalek,2021,0,0
Keramba Jaring Apung,Woyla,2021,0,0
Keramba Jaring Apung,Woyla Barat,2021,0,0
Keramba Jaring Apung,Woyla Timur,2021,0,0
Keramba Jaring Apung,Kaway XVI,2021,0,0
Keramba Jaring Apung,Meureubo,2021,0,0
Keramba Jaring Apung,Pante Ceureumen,2021,0,0
Keramba Jaring Apung,Panton Reu,2021,0,0
Keramba Jaring Apung,Sungai Mas,2021,0,0
Minapadi,Johan Pahlawan,2021,0,0
Minapadi,Samatiga,2021,0,0
Minapadi,Bubon,2021,0,0
Minapadi,Arongan Lambalek,2021,0,0
Minapadi,Woyla,2021,0,0
Minapadi,Woyla Barat,2021,0,0
Minapadi,Woyla Timur,2021,0,0
Minapadi,Kaway XVI,2021,0,0
Minapadi,Meureubo,2021,0,0
Minapadi,Pante Ceureumen,2021,0,0
Minapadi,Panton Reu,2021,0,0
Minapadi,Sungai Mas,2021,0,0
Budidaya Laut,Johan Pahlawan,2022,0,0
Budidaya Laut,Samatiga,2022,0,0
Budidaya Laut,Bubon,2022,0,0
Budidaya Laut,Arongan Lambalek,2022,0,0
Budidaya Laut,Woyla,2022,0,0
Budidaya Laut,Woyla Barat,2022,0,0
Budidaya Laut,Woyla Timur,2022,0,0
Budidaya Laut,Kaway XVI,2022,0,0
Budidaya Laut,Meureubo,2022,0,0
Budidaya Laut,Pante Ceureumen,2022,0,0
Budidaya Laut,Panton Reu,2022,0,0
Budidaya Laut,Sungai Mas,2022,0,0
Tambak,Johan Pahlawan,2022,29,98770
Tambak,Samatiga,2022,121,296280
Tambak,Bubon,2022,0,0
Tambak,Arongan Lambalek,2022,5,81740
Tambak,Woyla,2022,0,0
Tambak,Woyla Barat,2022,0,0
Tambak,Woyla Timur,2022,0,0
